Timestamp,CPU_Usage (%),Memory_Usage (MB),Bytes_Sent,Bytes_Received,Active_Connections
01/Feb/2025:15:19:45,0.0,684.81640625,230,1776,0
01/Feb/2025:15:19:45,0.5,684.7734375,230,1776,0
01/Feb/2025:15:19:45,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.5,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.0,684.7734375,230,1776,0
01/Feb/2025:15:19:46,0.5,685.796875,230,1776,0
01/Feb/2025:15:19:47,1.4,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:47,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:48,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:49,0.5,685.29296875,230,1776,0
01/Feb/2025:15:19:49,0.0,685.29296875,230,1776,0
01/Feb/2025:15:19:49,0.5,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.0,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.5,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.0,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.5,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.0,685.28125,230,1776,0
01/Feb/2025:15:19:49,0.5,687.21484375,230,1776,0
01/Feb/2025:15:19:49,0.0,687.21484375,230,1776,0
